state,overall,life_expectancy,high_school_graduate_rate,home_ownership_rate,population_below_poverty,unemployment_rate,per_capita_income
New Hampshire,1,80.3,91.4,72.0,8.4,5.1,32758
Minnesota,2,81.1,91.9,73.0,11.2,4.6,30656
Vermont,3,80.5,91.3,71.2,11.6,4.4,28846
Utah,4,80.2,90.6,70.4,12.1,4.3,23794
Massachusetts,5,80.5,89.1,41.6,11.0,7.1,35485
Wyoming,6,78.3,92.1,70.3,11.0,4.4,28858
Colorado,7,80,89.9,65.9,12.9,6.5,31039
Iowa,8,79.7,90.7,72.6,12.2,4.4,26545
Washington,9,79.9,90.0,63.8,12.9,6.8,30661
Connecticut,10,80.8,89.0,68.3,10.0,7.6,37807
Nebraska,11,79.8,90.4,67.6,12.4,3.7,26523
New Jersey,12,80.3,87.9,66.2,9.9,7.8,35928
Montana,13,78.5,91.9,68.5,14.8,5.2,25002
Maine,14,79.2,90.6,72.1,13.3,6.4,26464
Virginia,15,79,86.9,67.8,11.1,5.4,33326
North Dakota,16,79.5,90.5,66.4,12.1,2.6,28700
Hawaii,17,81.3,90.3,58.2,10.8,4.4,29227
South Dakota,18,79.5,90.1,68.6,13.8,3.6,25570
Wisconsin,19,80,90.2,68.6,12.5,6.3,27426
Idaho,20,79.5,88.6,70.1,15.1,6.1,22581
Maryland,21,78.8,88.5,68.1,9.4,6.4,36056
Kansas,22,78.7,89.7,68.2,13.2,5.1,26845
Oregon,23,79.5,89.2,62.5,15.5,7.3,26702
Delaware,24,78.4,87.7,72.7,11.5,6.5,29733
Alaska,25,78.3,91.6,64.4,9.6,6.5,32537
Pennsylvania,26,78.5,88.3,70.1,13.1,7.3,28190
New York,27,80.5,84.9,54.5,14.9,7.4,32104
Rhode Island,28,79.9,84.8,61.2,13.2,9,30005
Illinois,29,79,87.0,68.0,13.7,8.7,29519
California,30,80.8,81.0,56.0,15.3,8.5,29551
Missouri,31,77.5,87.2,69.0,15.0,6.1,25546
Indiana,32,77.6,87.0,70.6,14.7,7.3,24558
Arizona,33,79.6,85.4,65.5,17.2,7.8,25571
Ohio,34,77.8,88.2,68.0,15.4,7.4,25857
Texas,35,78.5,80.8,63.9,17.4,6.1,25809
Michigan,36,78.2,88.7,72.8,16.3,8.8,25547
Florida,37,79.4,85.8,68.1,15.6,6.4,26451
New Mexico,38,78.4,83.4,68.9,19.5,6.4,23749
North Carolina,39,77.8,84.5,67.1,16.8,7.4,25285
Nevada,40,78.1,84.4,57.8,14.2,9,27003
Oklahoma,41,75.9,86.2,67.5,16.6,5.4,24046
Georgia,42,77.2,84.4,66.0,17.4,7.7,25309
West Virginia,43,75.4,83.4,73.7,17.6,6.1,22482
Kentucky,44,76,82.4,68.7,18.6,8.2,23210
South Carolina,45,77,84.0,69.5,17.6,7.1,23906
Alabama,47,75.4,82.6,70.2,18.1,6.2,23587
Tennessee,48,76.3,83.9,68.4,17.3,8.1,24294
Arkansas,49,76,83.3,67.2,18.7,7.5,22007
Louisiana,50,75.7,82.2,67.4,18.7,6.3,24264
Mississippi,51,75,81.0,69.9,22.3,8.3,20670
